User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:35Z,cloudtrail.amazonaws.com,CreateTrail,us-west-2,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:460935150797:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-460935150797-594037c5""}]",c98826e1-dcaf-450d-b971-03d8402f2fe5,abfa0da5-316a-4f6c-a894-b83b0b0c97b7,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:35Z,cloudtrail.amazonaws.com,PutEventSelectors,us-west-2,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:460935150797:trail/Udacity_Trail""}]",30f52851-84cc-4515-a5c0-bca11aea5f12,b3648afb-505f-409d-a4ac-76b73961c088,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:35Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-west-2,58.187.42.44,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.190-118.353.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-460935150797-594037c5""}]",ME2GCQ7VWMH17GQD,cd58eb42-983a-4915-b48e-f8d2d6265d4f,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:35Z,cloudtrail.amazonaws.com,StartLogging,us-west-2,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",6d673713-5459-4a30-838e-ffd96f23bed9,d5020771-101b-4280-bc16-29f589e29a28,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:35Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-west-2,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-west-2:460935150797:trail/Udacity_Trail""}]",7e756e70-4363-47f1-9b4d-b0dda07c0e28,ea3d9cac-8385-4e1e-898b-0250763718a8,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:34Z,s3.amazonaws.com,PutBucketPolicy,us-west-2,58.187.42.44,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.190-118.353.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-460935150797-594037c5""}]",ME2MTMQPHJSHT2SK,28ff668b-97e8-4f21-92f3-990e786a2ed7,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,ASIAWWUPAHTGQ2ZSW664,2022-06-02T01:53:34Z,s3.amazonaws.com,CreateBucket,us-west-2,58.187.42.44,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.190-118.353.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-460935150797-594037c5""}]",Z3CB0TRWMF08W7ER,d2ea963f-0e7c-4f40-a952-64236309b1bf,FALSE,AwsApiCall,4.60935E+11,Management
CloudTrail,,2022-06-02T01:52:09Z,signin.amazonaws.com,ConsoleLogin,us-west-2,118.69.210.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36",,[],,93e24f4c-27fb-4dd5-abe9-5e9b8915fbcb,FALSE,AwsConsoleSignIn,4.60935E+11,Management
Accountant,,2022-06-02T01:50:35Z,signin.amazonaws.com,ConsoleLogin,us-west-2,118.69.210.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36",,[],,28adcc64-7852-464c-92dd-1ae429b94a1d,FALSE,AwsConsoleSignIn,4.60935E+11,Management
,,2022-05-23T07:14:24Z,ec2.amazonaws.com,AutomatedDefaultVpcCreation,us-west-2,ec2.amazonaws.com,ec2.amazonaws.com,,[],c920d394-23ba-41be-981c-5cfcc42921fb,e7e470d4-7ad5-43a5-8e14-3f5191112dc2,FALSE,AwsServiceEvent,4.60935E+11,Management
